"time-stamp","id","movement","x","y","",""
"2014/6/7 08:28:50","1012604","check-in","63","99","5","69"
"2014/6/7 08:35:49","1012604","movement","63","98","5",""
"2014/6/7 08:35:56","1012604","movement","64","97","5",""
"2014/6/7 08:36:03","1012604","movement","63","96","5",""
"2014/6/7 08:36:10","1012604","movement","64","95","5",""
"2014/6/7 08:36:17","1012604","movement","64","94","5",""
"2014/6/7 08:36:24","1012604","movement","65","93","5",""
"2014/6/7 08:36:31","1012604","movement","64","92","5",""
"2014/6/7 08:36:38","1012604","movement","65","91","5",""
"2014/6/7 08:36:45","1012604","movement","66","90","5",""
"2014/6/7 08:36:52","1012604","movement","67","89","5",""
"2014/6/7 08:36:59","1012604","movement","66","88","5",""
"2014/6/7 08:37:06","1012604","movement","67","87","5",""
"2014/6/7 08:37:13","1012604","movement","68","86","5",""
"2014/6/7 08:37:20","1012604","movement","69","85","5",""
"2014/6/7 08:37:27","1012604","movement","69","84","5",""
"2014/6/7 08:37:34","1012604","movement","68","83","5",""
"2014/6/7 08:37:41","1012604","movement","69","82","5",""
"2014/6/7 08:37:48","1012604","movement","70","81","5",""
"2014/6/7 08:37:55","1012604","movement","71","80","5",""
"2014/6/7 08:38:02","1012604","movement","72","79","5",""
"2014/6/7 08:38:09","1012604","movement","73","78","5",""
"2014/6/7 08:38:16","1012604","movement","74","77","5",""
"2014/6/7 08:38:23","1012604","movement","75","76","5",""
"2014/6/7 08:38:30","1012604","movement","76","75","5",""
"2014/6/7 08:38:37","1012604","movement","77","74","5",""
"2014/6/7 08:38:44","1012604","movement","78","73","5",""
"2014/6/7 08:38:51","1012604","movement","79","74","5",""
"2014/6/7 08:38:58","1012604","movement","80","74","5",""
"2014/6/7 08:39:05","1012604","movement","81","73","5",""
"2014/6/7 08:39:12","1012604","movement","82","72","5",""
"2014/6/7 08:39:19","1012604","movement","83","71","5",""
"2014/6/7 08:39:26","1012604","movement","84","70","5",""
"2014/6/7 08:39:33","1012604","movement","85","69","5",""
"2014/6/7 08:39:40","1012604","movement","85","68","5",""
"2014/6/7 08:39:47","1012604","movement","86","67","5",""
"2014/6/7 08:39:54","1012604","movement","86","66","5",""
"2014/6/7 08:40:01","1012604","movement","87","65","5",""
"2014/6/7 08:40:08","1012604","movement","88","64","5",""
"2014/6/7 08:40:15","1012604","movement","89","63","5",""
"2014/6/7 08:40:22","1012604","movement","89","62","5",""
"2014/6/7 08:40:29","1012604","movement","90","61","5",""
"2014/6/7 08:40:36","1012604","movement","89","60","5",""
"2014/6/7 08:40:43","1012604","movement","90","59","5",""
"2014/6/7 08:40:50","1012604","movement","90","58","5",""
"2014/6/7 08:40:57","1012604","movement","89","57","5",""
"2014/6/7 08:41:04","1012604","movement","90","56","5",""
"2014/6/7 08:41:11","1012604","movement","90","55","5",""
"2014/6/7 08:41:18","1012604","movement","89","54","5",""
"2014/6/7 08:41:25","1012604","movement","89","53","5",""
"2014/6/7 08:41:32","1012604","movement","88","52","5",""
"2014/6/7 08:41:39","1012604","movement","88","51","5",""
"2014/6/7 08:41:46","1012604","movement","88","50","5",""
"2014/6/7 08:41:53","1012604","movement","88","49","5",""
"2014/6/7 08:42:00","1012604","movement","88","48","5",""
"2014/6/7 08:42:07","1012604","movement","89","47","5",""
"2014/6/7 08:42:14","1012604","movement","88","46","5",""
"2014/6/7 08:42:21","1012604","movement","87","45","5",""
"2014/6/7 08:42:28","1012604","movement","86","44","5",""
"2014/6/7 08:42:31","1012604","check-in","86","44","5","6"
"2014/6/7 08:49:19","1012604","movement","85","45","5",""
"2014/6/7 08:49:26","1012604","movement","84","44","5",""
"2014/6/7 08:49:33","1012604","movement","83","45","5",""
"2014/6/7 08:49:40","1012604","movement","82","44","5",""
"2014/6/7 08:49:47","1012604","movement","81","45","5",""
"2014/6/7 08:49:54","1012604","movement","80","46","5",""
"2014/6/7 08:50:01","1012604","movement","79","47","5",""
"2014/6/7 08:50:08","1012604","movement","78","48","5",""
"2014/6/7 08:50:15","1012604","movement","77","47","5",""
"2014/6/7 08:50:22","1012604","movement","76","48","5",""
"2014/6/7 08:50:29","1012604","movement","75","47","5",""
"2014/6/7 08:50:36","1012604","movement","74","46","5",""
"2014/6/7 08:50:43","1012604","movement","73","46","5",""
"2014/6/7 08:50:50","1012604","movement","72","46","5",""
"2014/6/7 08:50:57","1012604","movement","71","45","5",""
"2014/6/7 08:51:04","1012604","movement","70","44","5",""
"2014/6/7 08:51:11","1012604","movement","69","44","5",""
"2014/6/7 08:51:18","1012604","movement","68","43","5",""
"2014/6/7 08:51:25","1012604","movement","67","42","5",""
"2014/6/7 08:51:32","1012604","movement","66","42","4",""
"2014/6/7 08:51:39","1012604","movement","65","41","4",""
"2014/6/7 08:51:46","1012604","movement","64","40","4",""
"2014/6/7 08:51:53","1012604","movement","63","39","4",""
"2014/6/7 08:52:00","1012604","movement","63","38","4",""
"2014/6/7 08:52:07","1012604","movement","62","37","4",""
"2014/6/7 08:52:14","1012604","movement","61","37","4",""
"2014/6/7 08:52:21","1012604","movement","60","37","4",""
"2014/6/7 08:52:24","1012604","check-in","60","37","4","72"
"2014/6/7 09:11:37","1012604","movement","61","37","4",""
"2014/6/7 09:11:44","1012604","movement","62","37","4",""
"2014/6/7 09:11:51","1012604","movement","63","38","4",""
"2014/6/7 09:11:58","1012604","movement","63","39","4",""
"2014/6/7 09:12:05","1012604","movement","63","40","4",""
"2014/6/7 09:12:12","1012604","movement","62","41","4",""
"2014/6/7 09:12:19","1012604","movement","61","42","4",""
"2014/6/7 09:12:26","1012604","movement","60","43","4",""
"2014/6/7 09:12:33","1012604","movement","59","44","4",""
"2014/6/7 09:12:40","1012604","movement","58","45","4",""
"2014/6/7 09:12:47","1012604","movement","57","46","4",""
"2014/6/7 09:12:54","1012604","movement","56","47","4",""
"2014/6/7 09:13:01","1012604","movement","55","48","4",""
"2014/6/7 09:13:08","1012604","movement","54","48","4",""
"2014/6/7 09:13:15","1012604","movement","53","49","4",""
"2014/6/7 09:13:22","1012604","movement","52","50","4",""
"2014/6/7 09:13:29","1012604","movement","51","51","4",""
"2014/6/7 09:13:36","1012604","movement","50","52","4",""
"2014/6/7 09:13:43","1012604","movement","49","52","4",""
"2014/6/7 09:13:50","1012604","movement","48","52","4",""
"2014/6/7 09:13:57","1012604","movement","47","53","4",""
"2014/6/7 09:14:04","1012604","movement","46","54","4",""
"2014/6/7 09:14:11","1012604","movement","45","55","4",""
"2014/6/7 09:14:18","1012604","movement","44","56","2",""
"2014/6/7 09:14:25","1012604","movement","43","57","2",""
"2014/6/7 09:14:32","1012604","movement","42","58","2",""
"2014/6/7 09:14:39","1012604","movement","41","59","2",""
"2014/6/7 09:14:46","1012604","movement","40","60","2",""
"2014/6/7 09:14:53","1012604","movement","39","61","2",""
"2014/6/7 09:15:00","1012604","movement","38","61","2",""
"2014/6/7 09:15:07","1012604","movement","37","62","2",""
"2014/6/7 09:15:14","1012604","movement","36","63","2",""
"2014/6/7 09:15:21","1012604","movement","35","64","2",""
"2014/6/7 09:15:28","1012604","movement","34","63","2",""
"2014/6/7 09:15:35","1012604","movement","33","62","2",""
"2014/6/7 09:15:42","1012604","movement","32","61","2",""
"2014/6/7 09:15:49","1012604","movement","31","61","2",""
"2014/6/7 09:15:56","1012604","movement","30","60","2",""
"2014/6/7 09:16:03","1012604","movement","29","60","2",""
"2014/6/7 09:16:10","1012604","movement","28","59","2",""
"2014/6/7 09:16:17","1012604","movement","27","58","2",""
"2014/6/7 09:16:24","1012604","movement","26","57","2",""
"2014/6/7 09:16:31","1012604","movement","25","56","2",""
"2014/6/7 09:16:38","1012604","movement","24","55","2",""
"2014/6/7 09:16:45","1012604","movement","23","54","2",""
"2014/6/7 09:16:52","1012604","movement","22","53","2",""
"2014/6/7 09:16:59","1012604","movement","21","52","2",""
"2014/6/7 09:17:06","1012604","movement","20","51","2",""
"2014/6/7 09:17:13","1012604","movement","19","50","2",""
"2014/6/7 09:17:20","1012604","movement","18","49","1",""
"2014/6/7 09:17:27","1012604","movement","17","48","1",""
"2014/6/7 09:17:34","1012604","movement","17","47","1",""
"2014/6/7 09:32:26","1012604","movement","17","48","1",""
"2014/6/7 09:32:33","1012604","movement","18","49","1",""
"2014/6/7 09:32:40","1012604","movement","19","50","2",""
"2014/6/7 09:32:47","1012604","movement","20","51","2",""
"2014/6/7 09:32:54","1012604","movement","21","52","2",""
"2014/6/7 09:33:01","1012604","movement","22","53","2",""
"2014/6/7 09:33:08","1012604","movement","23","53","2",""
"2014/6/7 09:33:15","1012604","movement","24","54","2",""
"2014/6/7 09:33:22","1012604","movement","25","55","2",""
"2014/6/7 09:33:29","1012604","movement","26","56","2",""
"2014/6/7 09:33:36","1012604","movement","27","57","2",""
"2014/6/7 09:33:43","1012604","movement","28","58","2",""
"2014/6/7 09:33:50","1012604","movement","29","59","2",""
"2014/6/7 09:33:57","1012604","movement","30","59","2",""
"2014/6/7 09:34:04","1012604","movement","31","59","2",""
"2014/6/7 09:34:11","1012604","movement","32","60","2",""
"2014/6/7 09:34:18","1012604","movement","33","61","2",""
"2014/6/7 09:34:25","1012604","movement","34","62","2",""
"2014/6/7 09:34:32","1012604","movement","35","62","2",""
"2014/6/7 09:34:39","1012604","movement","36","63","2",""
"2014/6/7 09:34:46","1012604","movement","37","63","2",""
"2014/6/7 09:34:53","1012604","movement","38","63","2",""
"2014/6/7 09:35:00","1012604","movement","39","62","2",""
"2014/6/7 09:35:07","1012604","movement","40","61","2",""
"2014/6/7 09:35:14","1012604","movement","41","60","2",""
"2014/6/7 09:35:21","1012604","movement","42","59","2",""
"2014/6/7 09:35:28","1012604","movement","43","58","2",""
"2014/6/7 09:35:35","1012604","movement","44","57","2",""
"2014/6/7 09:35:42","1012604","movement","45","56","4",""
"2014/6/7 09:35:49","1012604","movement","46","55","4",""
"2014/6/7 09:35:56","1012604","movement","47","54","4",""
"2014/6/7 09:36:03","1012604","movement","48","53","4",""
"2014/6/7 09:36:10","1012604","movement","49","53","4",""
"2014/6/7 09:36:17","1012604","movement","50","52","4",""
"2014/6/7 09:36:24","1012604","movement","51","52","4",""
"2014/6/7 09:36:31","1012604","movement","52","51","4",""
"2014/6/7 09:36:38","1012604","movement","53","51","4",""
"2014/6/7 09:36:45","1012604","movement","54","50","4",""
"2014/6/7 09:36:52","1012604","movement","55","49","4",""
"2014/6/7 09:36:59","1012604","movement","56","48","4",""
"2014/6/7 09:37:06","1012604","movement","57","47","4",""
"2014/6/7 09:37:13","1012604","movement","58","46","4",""
"2014/6/7 09:37:20","1012604","movement","59","45","4",""
"2014/6/7 09:37:27","1012604","movement","60","44","4",""
"2014/6/7 09:37:34","1012604","movement","61","43","4",""
"2014/6/7 09:37:41","1012604","movement","62","42","4",""
"2014/6/7 09:37:48","1012604","movement","63","41","4",""
"2014/6/7 09:37:55","1012604","movement","64","42","4",""
"2014/6/7 09:38:02","1012604","movement","65","41","4",""
"2014/6/7 09:38:09","1012604","movement","66","41","4",""
"2014/6/7 09:38:16","1012604","movement","67","41","5",""
"2014/6/7 09:38:23","1012604","movement","68","42","5",""
"2014/6/7 09:38:30","1012604","movement","69","41","5",""
"2014/6/7 09:38:37","1012604","movement","70","42","5",""
"2014/6/7 09:38:44","1012604","movement","71","43","5",""
"2014/6/7 09:38:51","1012604","movement","72","43","5",""
"2014/6/7 09:38:58","1012604","movement","73","44","5",""
"2014/6/7 09:39:05","1012604","movement","74","45","5",""
"2014/6/7 09:39:12","1012604","movement","75","46","5",""
"2014/6/7 09:39:19","1012604","movement","76","47","5",""
"2014/6/7 09:39:26","1012604","movement","77","48","5",""
"2014/6/7 09:39:33","1012604","movement","78","48","5",""
"2014/6/7 09:39:36","1012604","check-in","78","48","5","4"
"2014/6/7 10:26:19","1012604","movement","77","48","5",""
"2014/6/7 10:26:26","1012604","movement","76","47","5",""
"2014/6/7 10:26:33","1012604","movement","75","47","5",""
"2014/6/7 10:26:40","1012604","movement","74","47","5",""
"2014/6/7 10:26:47","1012604","movement","73","47","5",""
"2014/6/7 10:26:54","1012604","movement","72","46","5",""
"2014/6/7 10:27:01","1012604","movement","71","45","5",""
"2014/6/7 10:27:08","1012604","movement","70","44","5",""
"2014/6/7 10:27:15","1012604","movement","69","43","5",""
"2014/6/7 10:27:22","1012604","movement","68","43","5",""
"2014/6/7 10:27:29","1012604","movement","67","42","5",""
"2014/6/7 10:27:36","1012604","movement","66","41","4",""
"2014/6/7 10:27:43","1012604","movement","65","41","4",""
