"time-stamp","id","movement","x","y","",""
"2014/6/6 08:21:02","1983777","check-in","63","99","5","69"
"2014/6/6 08:21:46","1983777","movement","63","98","5",""
"2014/6/6 08:21:52","1983777","movement","63","97","5",""
"2014/6/6 08:21:58","1983777","movement","64","96","5",""
"2014/6/6 08:22:04","1983777","movement","65","95","5",""
"2014/6/6 08:22:10","1983777","movement","65","94","5",""
"2014/6/6 08:22:16","1983777","movement","64","93","5",""
"2014/6/6 08:22:22","1983777","movement","64","92","5",""
"2014/6/6 08:22:28","1983777","movement","65","91","5",""
"2014/6/6 08:22:34","1983777","movement","66","90","5",""
"2014/6/6 08:22:40","1983777","movement","67","89","5",""
"2014/6/6 08:22:46","1983777","movement","66","88","5",""
"2014/6/6 08:22:52","1983777","movement","67","87","5",""
"2014/6/6 08:22:58","1983777","movement","68","86","5",""
"2014/6/6 08:23:04","1983777","movement","69","85","5",""
"2014/6/6 08:23:10","1983777","movement","68","84","5",""
"2014/6/6 08:23:16","1983777","movement","68","83","5",""
"2014/6/6 08:23:22","1983777","movement","69","82","5",""
"2014/6/6 08:23:28","1983777","movement","70","81","5",""
"2014/6/6 08:23:34","1983777","movement","71","80","5",""
"2014/6/6 08:23:40","1983777","movement","72","79","5",""
"2014/6/6 08:23:46","1983777","movement","73","78","5",""
"2014/6/6 08:23:52","1983777","movement","74","77","5",""
"2014/6/6 08:23:58","1983777","movement","75","76","5",""
"2014/6/6 08:24:04","1983777","movement","76","75","5",""
"2014/6/6 08:24:10","1983777","movement","77","74","5",""
"2014/6/6 08:24:16","1983777","movement","78","74","5",""
"2014/6/6 08:24:22","1983777","movement","79","74","5",""
"2014/6/6 08:24:28","1983777","movement","80","73","5",""
"2014/6/6 08:24:34","1983777","movement","81","73","5",""
"2014/6/6 08:24:40","1983777","movement","82","72","5",""
"2014/6/6 08:24:46","1983777","movement","83","71","5",""
"2014/6/6 08:24:52","1983777","movement","84","70","5",""
"2014/6/6 08:24:58","1983777","movement","85","69","5",""
"2014/6/6 08:25:04","1983777","movement","85","68","5",""
"2014/6/6 08:25:10","1983777","movement","86","67","5",""
"2014/6/6 08:25:16","1983777","movement","87","66","5",""
"2014/6/6 08:25:22","1983777","movement","88","65","5",""
"2014/6/6 08:25:28","1983777","movement","87","64","5",""
"2014/6/6 08:25:34","1983777","movement","87","63","5",""
"2014/6/6 08:25:40","1983777","movement","88","62","5",""
"2014/6/6 08:25:46","1983777","movement","88","61","5",""
"2014/6/6 08:25:52","1983777","movement","88","60","5",""
"2014/6/6 08:25:58","1983777","movement","88","59","5",""
"2014/6/6 08:26:04","1983777","movement","89","58","5",""
"2014/6/6 08:26:10","1983777","movement","89","57","5",""
"2014/6/6 08:26:16","1983777","movement","89","56","5",""
"2014/6/6 08:26:22","1983777","movement","89","55","5",""
"2014/6/6 08:26:28","1983777","movement","88","54","5",""
"2014/6/6 08:26:34","1983777","movement","88","53","5",""
"2014/6/6 08:26:40","1983777","movement","88","52","5",""
"2014/6/6 08:26:46","1983777","movement","88","51","5",""
"2014/6/6 08:26:52","1983777","movement","89","50","5",""
"2014/6/6 08:26:58","1983777","movement","89","49","5",""
"2014/6/6 08:27:04","1983777","movement","88","48","5",""
"2014/6/6 08:27:10","1983777","movement","88","47","5",""
"2014/6/6 08:27:16","1983777","movement","88","46","5",""
"2014/6/6 08:27:22","1983777","movement","87","45","5",""
"2014/6/6 08:27:28","1983777","movement","86","44","5",""
"2014/6/6 08:27:32","1983777","check-in","86","44","5","6"
"2014/6/6 08:31:46","1983777","movement","85","43","5",""
"2014/6/6 08:31:52","1983777","movement","85","42","5",""
"2014/6/6 08:31:58","1983777","movement","84","41","5",""
"2014/6/6 08:32:04","1983777","movement","83","40","5",""
"2014/6/6 08:32:10","1983777","movement","82","39","5",""
"2014/6/6 08:32:16","1983777","movement","81","38","5",""
"2014/6/6 08:32:22","1983777","movement","80","37","5",""
