"time-stamp","id","movement","x","y","",""
"2014/6/7 08:41:41","1983777","check-in","63","99","5","69"
"2014/6/7 08:50:31","1983777","movement","63","98","5",""
"2014/6/7 08:50:37","1983777","movement","64","97","5",""
"2014/6/7 08:50:43","1983777","movement","64","96","5",""
"2014/6/7 08:50:49","1983777","movement","65","95","5",""
"2014/6/7 08:50:55","1983777","movement","65","94","5",""
"2014/6/7 08:51:01","1983777","movement","64","93","5",""
"2014/6/7 08:51:07","1983777","movement","65","92","5",""
"2014/6/7 08:51:13","1983777","movement","65","91","5",""
"2014/6/7 08:51:19","1983777","movement","66","90","5",""
"2014/6/7 08:51:25","1983777","movement","67","89","5",""
"2014/6/7 08:51:31","1983777","movement","67","88","5",""
"2014/6/7 08:51:37","1983777","movement","67","87","5",""
"2014/6/7 08:51:43","1983777","movement","68","86","5",""
"2014/6/7 08:51:49","1983777","movement","69","85","5",""
"2014/6/7 08:51:55","1983777","movement","68","84","5",""
"2014/6/7 08:52:01","1983777","movement","69","83","5",""
"2014/6/7 08:52:07","1983777","movement","69","82","5",""
"2014/6/7 08:52:13","1983777","movement","70","81","5",""
"2014/6/7 08:52:19","1983777","movement","71","80","5",""
"2014/6/7 08:52:25","1983777","movement","72","79","5",""
"2014/6/7 08:52:31","1983777","movement","73","78","5",""
"2014/6/7 08:52:37","1983777","movement","74","77","5",""
"2014/6/7 08:52:43","1983777","movement","75","76","5",""
"2014/6/7 08:52:49","1983777","movement","76","75","5",""
"2014/6/7 08:52:55","1983777","movement","77","74","5",""
"2014/6/7 08:53:01","1983777","movement","78","73","5",""
"2014/6/7 08:53:07","1983777","movement","79","74","5",""
"2014/6/7 08:53:13","1983777","movement","80","74","5",""
"2014/6/7 08:53:19","1983777","movement","81","73","5",""
"2014/6/7 08:53:25","1983777","movement","82","72","5",""
"2014/6/7 08:53:31","1983777","movement","83","71","5",""
"2014/6/7 08:53:37","1983777","movement","84","70","5",""
"2014/6/7 08:53:43","1983777","movement","85","69","5",""
"2014/6/7 08:53:49","1983777","movement","85","68","5",""
"2014/6/7 08:53:55","1983777","movement","86","67","5",""
"2014/6/7 08:54:01","1983777","movement","87","66","5",""
"2014/6/7 08:54:07","1983777","movement","88","65","5",""
"2014/6/7 08:54:13","1983777","movement","89","64","5",""
"2014/6/7 08:54:19","1983777","movement","88","63","5",""
"2014/6/7 08:54:25","1983777","movement","89","62","5",""
"2014/6/7 08:54:31","1983777","movement","90","61","5",""
"2014/6/7 08:54:37","1983777","movement","90","60","5",""
"2014/6/7 08:54:43","1983777","movement","90","59","5",""
"2014/6/7 08:54:49","1983777","movement","90","58","5",""
"2014/6/7 08:54:55","1983777","movement","90","57","5",""
"2014/6/7 08:55:01","1983777","movement","90","56","5",""
"2014/6/7 08:55:07","1983777","movement","90","55","5",""
"2014/6/7 08:55:13","1983777","movement","90","54","5",""
"2014/6/7 08:55:19","1983777","movement","90","53","5",""
"2014/6/7 08:55:25","1983777","movement","90","52","5",""
"2014/6/7 08:55:31","1983777","movement","90","51","5",""
"2014/6/7 08:55:37","1983777","movement","89","50","5",""
"2014/6/7 08:55:43","1983777","movement","88","49","5",""
"2014/6/7 08:55:49","1983777","movement","87","48","5",""
"2014/6/7 08:55:55","1983777","movement","86","47","5",""
"2014/6/7 08:56:01","1983777","movement","85","46","5",""
"2014/6/7 08:56:07","1983777","movement","85","45","5",""
"2014/6/7 08:56:13","1983777","movement","84","44","5",""
"2014/6/7 08:56:19","1983777","movement","83","43","5",""
"2014/6/7 08:56:25","1983777","movement","82","44","5",""
"2014/6/7 08:56:31","1983777","movement","81","45","5",""
"2014/6/7 08:56:37","1983777","movement","80","46","5",""
"2014/6/7 08:56:43","1983777","movement","79","47","5",""
"2014/6/7 08:56:49","1983777","movement","78","48","5",""
"2014/6/7 08:56:53","1983777","check-in","78","48","5","4"
"2014/6/7 09:16:16","1983777","movement","77","48","5",""
"2014/6/7 09:16:22","1983777","movement","76","47","5",""
"2014/6/7 09:16:28","1983777","movement","75","47","5",""
"2014/6/7 09:16:34","1983777","movement","74","47","5",""
"2014/6/7 09:16:40","1983777","movement","73","47","5",""
"2014/6/7 09:16:46","1983777","movement","72","46","5",""
"2014/6/7 09:16:52","1983777","movement","71","45","5",""
"2014/6/7 09:16:58","1983777","movement","70","44","5",""
"2014/6/7 09:17:04","1983777","movement","69","44","5",""
"2014/6/7 09:17:10","1983777","movement","68","43","5",""
"2014/6/7 09:17:16","1983777","movement","67","42","5",""
"2014/6/7 09:17:22","1983777","movement","66","42","4",""
"2014/6/7 09:17:28","1983777","movement","65","42","4",""
"2014/6/7 09:17:34","1983777","movement","64","43","4",""
"2014/6/7 09:17:40","1983777","movement","63","44","4",""
"2014/6/7 09:17:46","1983777","movement","63","45","4",""
"2014/6/7 09:17:52","1983777","movement","63","46","4",""
"2014/6/7 09:17:58","1983777","movement","64","47","4",""
