time-stamp,id,movement,x,y,,
2014/6/6 8:46,787796,check-in,63,99,5,69
2014/6/6 8:48,787796,movement,63,98,5,
2014/6/6 8:48,787796,movement,63,97,5,
2014/6/6 8:48,787796,movement,63,96,5,
2014/6/6 8:48,787796,movement,64,95,5,
2014/6/6 8:48,787796,movement,65,94,5,
2014/6/6 8:48,787796,movement,65,93,5,
2014/6/6 8:48,787796,movement,64,92,5,
2014/6/6 8:48,787796,movement,63,91,5,
2014/6/6 8:49,787796,movement,62,90,5,
2014/6/6 8:49,787796,movement,61,89,5,
2014/6/6 8:49,787796,movement,60,88,5,
2014/6/6 8:49,787796,movement,59,89,5,
2014/6/6 8:49,787796,movement,58,88,5,
2014/6/6 8:49,787796,movement,57,87,5,
2014/6/6 8:49,787796,movement,56,86,5,
2014/6/6 8:49,787796,movement,55,86,5,
2014/6/6 8:49,787796,movement,54,86,5,
2014/6/6 8:49,787796,movement,53,85,5,
2014/6/6 8:50,787796,movement,52,84,5,
2014/6/6 8:50,787796,movement,51,83,5,
2014/6/6 8:50,787796,movement,50,84,5,
2014/6/6 8:50,787796,movement,49,83,5,
2014/6/6 8:50,787796,movement,48,82,5,
2014/6/6 8:50,787796,movement,47,81,4,
2014/6/6 8:50,787796,movement,46,80,4,
2014/6/6 8:50,787796,movement,45,79,4,
2014/6/6 8:50,787796,movement,44,79,3,
2014/6/6 8:50,787796,movement,43,78,3,
2014/6/6 8:51,787796,movement,42,77,3,
2014/6/6 8:51,787796,movement,41,76,3,
2014/6/6 8:51,787796,movement,40,75,3,
2014/6/6 8:51,787796,movement,39,75,3,
2014/6/6 8:51,787796,movement,38,74,3,
2014/6/6 8:51,787796,movement,37,73,3,
2014/6/6 8:51,787796,movement,36,72,3,
2014/6/6 8:51,787796,movement,35,71,2,
2014/6/6 8:51,787796,movement,34,70,2,
2014/6/6 8:51,787796,movement,33,69,2,
2014/6/6 8:52,787796,movement,33,68,2,
2014/6/6 8:52,787796,movement,32,67,2,
2014/6/6 8:52,787796,movement,31,67,2,
