"time-stamp","id","movement","x","y","",""
"2014/6/7 08:35:37","258464","check-in","0","67","2","68"
"2014/6/7 08:36:18","258464","movement","1","66","2",""
"2014/6/7 08:36:25","258464","movement","2","67","2",""
"2014/6/7 08:36:32","258464","movement","3","67","2",""
"2014/6/7 08:36:39","258464","movement","4","66","2",""
"2014/6/7 08:36:46","258464","movement","5","66","2",""
"2014/6/7 08:36:53","258464","movement","6","67","2",""
"2014/6/7 08:37:00","258464","movement","7","66","2",""
"2014/6/7 08:37:07","258464","movement","8","66","2",""
"2014/6/7 08:37:14","258464","movement","9","66","2",""
"2014/6/7 08:37:21","258464","movement","10","67","2",""
"2014/6/7 08:37:28","258464","movement","11","67","2",""
"2014/6/7 08:37:35","258464","movement","12","67","2",""
"2014/6/7 08:37:42","258464","movement","13","67","2",""
"2014/6/7 08:37:49","258464","movement","14","66","2",""
"2014/6/7 08:37:56","258464","movement","15","66","2",""
"2014/6/7 08:38:03","258464","movement","16","66","2",""
"2014/6/7 08:38:10","258464","movement","17","67","2",""
"2014/6/7 08:38:17","258464","movement","18","66","2",""
"2014/6/7 08:38:24","258464","movement","19","67","2",""
"2014/6/7 08:38:31","258464","movement","20","67","2",""
"2014/6/7 08:38:38","258464","movement","21","66","2",""
"2014/6/7 08:38:45","258464","movement","22","66","2",""
"2014/6/7 08:38:52","258464","movement","23","66","2",""
"2014/6/7 08:38:59","258464","movement","24","67","2",""
"2014/6/7 08:39:06","258464","movement","25","67","2",""
"2014/6/7 08:39:13","258464","movement","26","66","2",""
"2014/6/7 08:39:20","258464","movement","27","67","2",""
"2014/6/7 08:39:27","258464","movement","28","66","2",""
"2014/6/7 08:39:34","258464","movement","29","67","2",""
"2014/6/7 08:39:41","258464","movement","30","66","2",""
"2014/6/7 08:39:48","258464","movement","31","67","2",""
"2014/6/7 08:39:55","258464","movement","32","66","2",""
"2014/6/7 08:40:02","258464","movement","33","67","2",""
"2014/6/7 08:40:09","258464","movement","34","66","2",""
